Target,Window,Dataset,HI_mean,HI_p95,HI_p99,HIz_mean,Exceedance_P95
CHL_RWCD_TEMP_1,24h,080,0.053307992440441695,0.16265280601023865,0.21444272411708132,0.89481415003228,37.88015342373876
CHL_RWCD_TEMP_1,24h,065,0.1055006971241785,0.3402155984345747,0.4352138611505646,2.7147508441283046,44.22746041031132
CHL_RWCD_TEMP_1,48h,Baseline,0.028741754848850568,0.0727534967572965,0.09430120368730692,2.776547884542646e-17,4.9999904598541125
CHL_RWCD_TEMP_1,48h,095,0.031236505731265855,0.0780949641053214,0.09320898756043079,0.09032607868209389,8.127631887746828
CHL_RWCD_TEMP_1,48h,080,0.055800803258022835,0.15963775106153066,0.18020416183097696,0.9797121439649329,42.119744095126705
CHL_RWCD_TEMP_1,48h,065,0.11076666530353023,0.3232065222735502,0.37892690218179903,2.9698310031052584,47.59044535309034
CHL_POW_1,6h,Baseline,0.07832926289688609,0.33712789569449697,0.4608019313797534,-2.76988874856848e-17,4.999990482734729
CHL_POW_1,6h,095,0.07882158808319448,0.34005654413748726,0.46634837701253834,0.0041994428457013564,5.152076381764158
CHL_POW_1,6h,080,0.08130330464536463,0.3589941614609112,0.490209947596292,0.02536802644023583,5.893471346369449
CHL_POW_1,6h,065,0.08661112166747742,0.3830865952559799,0.5442340316054939,0.07064272462689508,7.119485458570393
CHL_POW_1,12h,Baseline,0.08698150731158512,0.3132275783230007,0.3986620648547788,5.541676194823062e-17,4.999990479472792
CHL_POW_1,12h,095,0.08738678075967528,0.3173380468793432,0.4005727689776923,0.00365120908795055,5.249428292341117
CHL_POW_1,12h,080,0.09035515855985748,0.3309876255359163,0.4150065318303073,0.0303940614795164,6.148737292476309
CHL_POW_1,12h,065,0.09667675444767022,0.3615820260757238,0.4697239543267226,0.08734688793460205,7.972489484577698
CHL_POW_1,24h,Baseline,0.09293035534014693,0.2886906202979358,0.3345154630476832,-2.7727387487099127e-17,4.999990472942203
CHL_POW_1,24h,095,0.09328408886640485,0.2894439740712497,0.33616779299059113,0.0033330299604815363,5.069919077171074
CHL_POW_1,24h,080,0.09683681454869109,0.3053233395120711,0.35248743707908115,0.03680834474248545,6.941414310784058
CHL_POW_1,24h,065,0.10409507346351454,0.3312339576682288,0.3817291281075309,0.10519879299872262,10.220055980991614
CHL_POW_1,48h,Baseline,0.09606557278350326,0.27644165483670097,0.31430042598425406,5.553095769085291e-17,4.9999904598541125
CHL_POW_1,48h,095,0.09646197718483114,0.2781788358779203,0.31487919417250493,0.003832506541521107,5.216170165674174
CHL_POW_1,48h,080,0.10025103115709579,0.2888682448258752,0.33275021547287575,0.04046573787355498,6.669515990238523
CHL_POW_1,48h,065,0.10803798221733735,0.315753965224902,0.359919087424649,0.11575133202162674,11.585362363361261
